"Marque","Audi",,,,"BMW",,,"Citroen",,,,"Renault",,
"Modele","A3","A4","A5","A6","X1","X2","X3","C1","C2","C3","C4","Clio","Megane","Scenic"
"Dimensions
  ",,,,,,,,,,,,,,
"Longueur","4,49 m","4,70 m","4,75 m","4,93 m","4,47 m","4,36 m","4,65 m","3,46 m","3,66 m","3,99 m","4,27 m","4,05 m","4,62 m","4,40 m"
"Largeur sans rétros","1,81 m","1,82 m","1,84 m","1,88 m","1,79 m","1,82 m","1,88 m","1,61 m","1,89 m","1,74 m","1,76 m","1,79 m","1,81 m","1,86 m"
"Hauteur","1,42 m","1,42 m","1,38 m","1,45 m","1,56 m","1,52 m","1,67 m","1,46 m","1,46 m","1,47 m","1,45 m","1,44 m","1,44 m","1,65 m"
"Empattement","2,63 m","2,80 m","2,82 m","2,92 m","2,76 m","2,67 m","2,81 m","2,34 m","2,31 m","2,53 m","2,60 m","2,58 m","2,71 m","2,73 m"
"Volume de coffre mini/maxi","NC / 425 l","480 l / NC","480 l / NC","565 l / NC","480 l / 1 350 l","470 l / 1 355 l","550 l / 1 600 l","196 l / 780 l","166 l / 879 l","300 l / 922 l","320 l / NC","284 l / 1 069 l","563 l / 1 543 l","506 l / NC"
"Nombre de portes",4,4,5,4,5,5,5,5,3,5,5,5,5,5
"Nombre de places assises",5,5,5,5,5,5,5,4,4,5,5,5,5,5
"Poids à vide","1 455 kg","1 430 kg","1 595 kg","0 kg","1 570 kg","1 540 kg","1 735 kg","855 kg","956 kg","0 kg","1 200 kg","1 178 kg","1 281 kg","1 539 kg"
"Caractéristiques moteur
  ",,,,,,,,,,,,,,
"Motorisation","Diesel","Essence","Diesel","Diesel","Diesel","Diesel","Diesel","Essence","Essence","Essence","Bicarburation essence bioéthanol","Biocarburant essence GPL","Essence","Diesel"
"Puissance fiscale","6 CV","7 CV","9 CV","11 CV","6 CV","8 CV","8 CV","4 CV","4 CV","6 CV","7 CV","5 CV","7 CV","NC"
"Moteur","4 cylindres , 16 soupapes","4 cylindres en ligne, 16 soupapes","4 cylindres , 16 soupapes","4 cylindres , 16 soupapes","4 cylindres en ligne, 16 soupapes","4 cylindres , 16 soupapes","4 cylindres en ligne, 16 soupapes","3 cylindres en ligne, 12 soupapes","4 cylindres en ligne, 8 soupapes","3 cylindres , 12 soupapes","4 cylindres l, 16 soupapes","3 cylindres , 12 soupapes","4 cylindres , 16 soupapes","4 cylindres , 16 soupapes"
"Cylindrée","1 968 cm3","1 798 cm3","1 968 cm3","1 968 cm3","1 995 cm3","1 995 cm3","1 995 cm3","998 cm3","1 124 cm3","1 199 cm3","1 587 cm3","999 cm3","1 333 cm3","1 600 cm3"
"Puissance","116 ch","120 ch à 3 650 trs/min","163 ch","204 ch","116 ch à 4 000 trs/min","150 ch","150 ch à 4 000 trs/min","72 ch à 6 000 trs/min","60 ch à 5 500 trs/min","110 ch","110 ch à 5 750 trs/min","101 ch","140 ch","160 ch à 4 000 trs/min"
"Couple","360 Nm à 1 600 trs/min","230 Nm à 1 500 trs/min","370 Nm à 1 500 trs/min","400 Nm à 1 750 trs/min","260 Nm à 1 750 trs/min","350 Nm à 1 750 trs/min","360 Nm à 1 500 trs/min","93 Nm à 4 400 trs/min","94 Nm à 3 300 trs/min","205 Nm à 1 750 trs/min","153 Nm à 4 000 trs/min","160 Nm","240 Nm","380 Nm à 1 750 trs/min"
"Type de suralimentation","Pas de suralimentation","turbo","Pas de suralimentation","Pas de suralimentation","turbo","Pas de suralimentation","turbo","Pas de suralimentation","Pas de suralimentation","Pas de suralimentation","Pas de suralimentation","Pas de suralimentation","Pas de suralimentation","Pas de suralimentation"
"Boîte de vitesse, Nb de rapports","Automatique à 7 rapports","Mécanique à 6 rapports","Automatique à 7 rapports","Automatique à 7 rapports","Automatique à 8 rapports","Automatique à 8 rapports","Mécanique à 6 rapports","Mécanique à 5 rapports","Mécanique à 5 rapports","Automatique à 6 rapports","Mécanique à 5 rapports","Mécanique à 6 rapports","Mécanique à 6 rapports","Automatique à 6 rapports"
"Roues motrices","AV","AV","AV","4x4","AR","AV","AR","AV","AV","AV","AV","AV","AV","AV"
